NTPTime,GSR,GSR_clean,TAG,emotion_HRI,shortNTPTime
3613769.0,12.909326553344728,-0.6496052193318124,,,
3614019.0,12.865781784057615,-0.6579802779319581,,,
3614269.0,12.836325645446776,-0.6647430594424294,,,
3614519.0,12.795342445373535,-0.6710661455559693,,,
3614769.0,12.76076316833496,-0.6767335085324676,,,
3615019.0,12.767167091369627,-0.6804954399009663,,,
3615269.0,12.73130702972412,-0.6845016667014026,,,
3615519.0,12.703130722045898,-0.6880193390185201,,,
3615769.0,12.687762260437012,-0.6908041614203816,,,
3616019.0,12.657025337219238,-0.6950058245663676,,,
3616269.0,12.663429260253906,-0.6975952106226794,,,
3616519.0,12.64806079864502,-0.6996960058151166,,,
3616769.0,12.65062141418457,-0.7011128465592411,,,
3617019.0,12.630130767822266,-0.702138814612266,,,
3617269.0,12.627569198608398,-0.7035067962700031,,,
3617519.0,12.596832275390623,-0.705461050583834,,,
3617769.0,12.577621459960938,-0.7082458366051395,,,
3618019.0,12.55841064453125,-0.7109817999206136,,,
3618269.0,12.532795906066896,-0.7145971904105061,,,
3618519.0,12.51486587524414,-0.7177240264170797,,,
3618769.0,12.500778198242188,-0.7206554260781036,,,
3619019.0,12.489252090454102,-0.7232936712208028,,,
3619269.0,12.500778198242188,-0.7245150756193774,,,
3619519.0,12.486690521240234,-0.7255899027587899,,,
3619769.0,12.45595359802246,-0.7272998616406833,,,
3620019.0,12.4614839553833,-0.7283591542827855,,,
3620269.0,12.465326309204102,-0.7297115650626568,,,
3620519.0,12.4576416015625,-0.7308197167911464,,,
3620769.0,12.435869216918944,-0.7315858912954798,,,
3621019.0,12.430747032165527,-0.732758436607667,,,
3621269.0,12.419219970703123,-0.7345172909565036,,,
3621519.0,12.425623893737791,-0.7357386953550784,,,
3621769.0,12.471729278564451,-0.7343707136973416,,,
3622019.0,12.599801063537598,-0.7279216780997559,,,
3622269.0,12.727871894836426,-0.7161472931303845,,,
3622519.0,12.834171295166016,-0.7005621177061263,,,
3622769.0,12.873873710632324,-0.6852212013332498,,,
3623019.0,12.894365310668944,-0.6739842299335845,,,
3623269.0,12.894365310668944,-0.6676328761282181,,,
3623519.0,12.85210132598877,-0.6669488852993495,,,
3623769.0,12.811119079589844,-0.6693428350101115,,,
3624019.0,12.78294277191162,-0.6735933572424849,,,
3624269.0,12.795750617980955,-0.6773552886109843,,,
3624519.0,12.820083618164062,-0.6785766930095589,,,
3624769.0,12.83545207977295,-0.6776484431293089,,,
3625019.0,12.827768325805664,-0.6759384478668595,,,
3625269.0,12.829049110412598,-0.6746681843818974,,,
3625519.0,12.794469833374023,-0.6756452933485347,,,
3625769.0,12.757328987121582,-0.6786255157153903,,,
3626019.0,12.717626571655272,-0.6828271788613763,,,
3626269.0,12.708662033081056,-0.6874196783179063,,,
3626519.0,12.684328079223633,-0.6916213414638923,,,
3626769.0,12.6868896484375,-0.6943084456929789,,,
3627019.0,12.668959617614746,-0.6961649818340347,,,
3627269.0,12.685608863830566,-0.697044409008453,,,
3627519.0,12.675363540649414,-0.6973863862326094,,,
3627769.0,12.675363540649414,-0.6978260816295407,,,
3628019.0,12.672801971435549,-0.6976795043703783,,,
3628269.0,12.658713340759276,-0.698705508803959,,,
3628519.0,12.658713340759276,-0.6993406769269959,,,
3628769.0,12.648468017578123,-0.7003666813605766,,,
3629019.0,12.64334487915039,-0.7014904039669321,,,
3629269.0,12.648468017578123,-0.7018812402774759,,,
3629519.0,12.63694190979004,-0.702711771984951,,,
3629769.0,12.611327171325684,-0.7041286127290755,,,
3630019.0,12.615169525146484,-0.7052034398684879,,,
3630269.0,12.61388874053955,-0.7065225624398375,,,
3630519.0,12.64334487915039,-0.706278303388456,,,
3630769.0,12.662555694580078,-0.7043240490746253,,,
3631019.0,12.684328079223633,-0.7016858039319261,,,
3631269.0,12.6830472946167,-0.6990475587892269,,,
3631519.0,12.694573402404783,-0.6970933044753962,,,
3631769.0,12.6907320022583,-0.6960184409554281,,,
3632019.0,12.684328079223633,-0.6960184409554281,,,
3632269.0,12.685608863830566,-0.6959207227826533,,,
3632519.0,12.675363540649414,-0.6966535363173535,,,
3632769.0,12.672801971435549,-0.697337527146222,,,
3633019.0,12.656152725219728,-0.6984123542856343,,,
3633269.0,12.638222694396973,-0.7002200313403026,,,
3633519.0,12.622854232788086,-0.7022231447405207,,,
3633769.0,12.619011878967283,-0.7042751172271263,,,
3634019.0,12.612607955932615,-0.7059362534031881,,,
3634269.0,12.622854232788086,-0.7065225260592817,,,
3634519.0,12.624134063720703,-0.70647370335345,,,
3634769.0,12.67024040222168,-0.7045194490396194,,,
